,Set,Price_Euro,Pieces,Minifigs
0,Corner Garage,,2569,6.0
1,Ford Mustang,,1471,
2,NASA Apollo 11 Lunar Lander,,1087,2.0
3,Gingerbread House,,1477,2.0
4,Harley-Davidson Fat Boy,,1023,
5,Woody & RC,,69,1.0
6,Duke Caboom's Stunt Show,,120,2.0
7,Buzz and Bo Peep's Playground Adventure,,139,3.0
8,RV Vacation,,178,3.0
9,Buzz & Woody's Carnival Mania!,,230,5.0
10,Carnival Thrill Coaster,,98,2.0
11,My First Tow Truck,,11,
12,My First Balancing Animals,,15,
13,My First Fun Puzzle,,15,
14,My First Car Creations,,34,
15,Creative Fun,,120,1.0
16,Mickey's Vacation House,,57,3.0
17,Spider-Man vs. Electro,,29,2.0
18,Toy Story Train,,21,2.0
19,Emmet and Lucy's Visitors from the DUPLO Planet,,53,2.0
20,My First Minnie Build,,10,
21,My First Mickey Build,,9,
22,Frozen Ice Castle,,59,3.0
23,Police Bike,,8,1.0
24,Fire Truck,,21,2.0
25,Police Station,,38,3.0
26,Fire Station,,76,2.0
27,Baby Animals,,9,
28,Tropical Island,,73,3.0
29,World Animals,,121,6.0
30,Plane,,12,1.0
31,Submarine Adventure,,24,2.0
32,Bricks and Ideas,,123,
33,Basic Brick Set ,,300,
34,Bricks and Eyes ,,451,
35,Windows of Creativity,,450,
36,Creative Fun,,900,
37,Star Wars: Build Your Own Adventure Galactic Missions parts,,66,1.0
38,The Book of Bedtime Builds parts,,68,
39,Harry Potter: Build Your Own Adventure parts,,101,1.0
40,Christmas Ideas parts,,41,
41,Wooden Minifigure parts,,29,
42,San Francisco,,565,
43,Paris,,649,
44,Trafalgar Square,,1197,
45,Empire State Building,,1767,
46,Burj Khalifa,,333,
47,Minecraft Steve BigFig with Parrot,,159,
48,Minecraft Alex BigFig with Chicken,,160,
49,Minecraft Skeleton BigFig with Magma Cube,,142,
50,The End Battle,,222.0,2.0
51,The Pirate Ship Adventure,,386.0,3.0
52,The Wool Farm,,260.0,1.0
53,The Blaze Bridge,,372.0,4.0
54,The Creeper Mine,,834.0,4.0
55,The Flintstones,,748.0,4.0
56,Steamboat Willie,,751.0,2.0
57,Tree House,,3036.0,4.0
58,Central Perk,,1070.0,7.0
59,Dinosaur Fossils,,910.0,2.0
60,My First Duck,,6.0,
61,Town Rescue - {Random Bag},,,
62,Town Rescue - Bird,,,
63,Town Rescue - Fireman,,,
64,Town Rescue - Cat,,,
65,Town Rescue - Policewoman,,,
66,Town Rescue - Dog,,,
67,Emmet's 'Piece' Offering,,44.0,1.0
68,Fire ATV,,39.0,1.0
69,Sky Police Jetpack,,33.0,2.0
70,Race Boat,,34.0,1.0
71,Popcorn Cart,,43.0,1.0
72,Space Satellite,,36.0,1.0
73,Naboo Starfighter,,48.0,
74,Snowspeeder,,49.0,
75,Minecraft Steve and Creeper Set,,36,2.0
76,Tulips,,90,
77,Emma's Bumper Cars,,66,1.0
78,Mia's Water Fun,,28,1.0
79,Spider-Man's Mini Spider Crawler,,73,1.0
80,Iron Man and Dum-E,,38,1.0
81,Rex's Plantimal Ambush,,32,1.0
82,Podracer,,58,
83,Lucy vs. Alien Invader,,44,1.0
84,Mini Master-Building MetalBeard,,42,1.0
85,Mini Master-Building Emmet,,49,1.0
86,Sam-X,,56,
87,Ninja Workout,,31,1.0
88,Fire Flight,,54,1.0
89,Fish Free Builds - Make It Yours,,39,
90,Elsa's Winter Throne,,42,1.0
91,Pelican,,62,
92,Race Car,,68,
93,Santa,,67,
94,Star-Stuck Emmet,,41,1.0
95,SHAZAM!,,5,1.0
96,Obi-Wan Kenobi - Collectable Minifigure,,12,1.0
97,Futuristic Flyer,,157,
98,Dune Buggy,,147,
99,Deep Sea Creatures,,230,
100,Sunset Track Racer,,221,
101,Underwater Robot,,207,
102,Shuttle Transporter,,341,
103,Helicopter Adventure,,114,
104,Riverside Houseboat,,396,2.0
105,Race Plane,,333,1.0
106,Fairground Carousel,,595,3.0
107,Twin-Rotor Helicopter,,569,1.0
108,Townhouse Pet Shop & Café,,969,3.0
109,Outback Cabin,,305,2.0
110,Year of the Pig,,152,
111,MSC Cruises,,181,
112,Jet Fighter,,23,
113,Caterpillar,,48,
114,Viking Ship,,54,
115,Ladybird,,27,
116,Crane,,64,
117,Frog,,39,
118,Ice Cream Truck,,48,
119,Racing Car,,50,
120,Eagle,,56,
121,UFO,,36,
122,Wolf,,47,
123,Penguin,,47,
124,Battle of Hoth - 20th Anniversary Edition,,195,
125,Avengers Tower,,211,1.0
126,Space Rocket Ride,,154,1.0
127,Newbury Juice Bar,,127,2.0
128,Microscale Gingerbread House,,499,
129,Christmas Tree,,392,
130,Sea Accessories,,24,
131,NINJAGO Minifigure Set,,59,4.0
132,Spider-Man and the Museum Break-In,,49,3.0
133,Summer Celebration Minifigure Pack,,45,4.0
134,Mars Exploration Minifigure Pack,,44,4.0
135,LEGOLAND Park,,1336,11.0
136,LEGOLAND Driving School Cars,,209,4.0
137,Birthday Clown,,150,
138,Valentine's Puppy,,147,
139,Easter Chick,,120,
140,Halloween Ghost,,136,
141,Thanksgiving Scarecrow,,177,
142,"Reindeer, Elf and Elfie",,281,
143,Dragon Dance Guy,,170,
144,LEGO House Exclusive Minifigure 2019,,7,1.0
145,LEGO Store Picture Frame,,170,1.0
146,Name Sign,,91,
147,Olaf's Traveling Sleigh,,97,1.0
148,Battle of Endor,,197,
149,LEGO House Dinosaurs,,864,
150,Lady Liberty,,153,
151,Xmas Accessories,,32,1.0
152,Rebuild the World minifigure,,6,
153,1989 Batmobile - Limited Edition,,366,
154,Reindeer,,77,
155,Plants from Plants,,29,
156,Jasmine's Petite Tower,,49,1.0
157,Cinderella's Carriage Ride,,91,1.0
158,Ariel's Castle,,115,1.0
159,Aladdin's and Jasmine's Palace Adventures,,193,2.0
160,"Ariel, Aurora, and Tiana's Royal Celebration",,282,3.0
161,Rapunzel's Small Tower,,44,1.0
162,Enchanted Treehouse,,302,3.0
163,Anna's Canoe Expedition,,108,2.0
164,Elsa and the Reindeer Carriage,,116,1.0
165,Arendelle Castle Village,,521,3.0
166,Elsa's Jewellery Box Creation,,300,1.0
167,Olaf,,122,
168,Underwater Loop,,389,2.0
169,Andrea's Heart Box,,84,1.0
170,Emma's Heart Box,,85,1.0
171,Stephanie's Heart Box,,85,1.0
172,Olivia's Heart Box,,85,2.0
173,Mia's Heart Box,,83,1.0
174,Heart Box Friendship Pack,,199,2.0
175,Emma's Mobile Veterinary Clinic ,,50,1
176,Mia's Foal Stable ,,118,1
177,Heartlake City Supermarket,,140,2
178,Mia's Forest Adventure,,134,1
179,Stephanie's Buggy & Trailer ,,166,1
180,Emma's Art Studio,,235,2
181,Olivia's Cupcake Cafe,,335,2
182,Stephanie's Horse Jumping,,337,2
183,Andrea's Talent Show,,492,2
184,Mia's House,,715,3
185,Mia's Horse Trailer,,216,2
186,Stephanie's Gymnastics Show,,241,2
187,Funny Octopus Ride,,324,2
188,Andrea's Pool Party,,468,2
189,Heartlake City Amusement Pier,,1251,7
190,Turtles Rescue Mission,,225,2
191,Dolphins Rescue Mission,,363,2
192,Heartlake City Restaurant,,624,3
193,Lighthouse Rescue Centre,,602,2
194,Rescue Mission Boat,,908,4
195,LEGO Friends Advent Calendar,,330,3
196,Olivia's Hamster Playground,,81,1
197,Andrea's Summer Heart Box,,83,1
198,Emma's Summer Heart Box,,86,1
199,Stephanie's Summer Heart Box,,95,1
200,Olivia's Summer Heart Box,,93,2.0
201,Mia's Summer Heart Box,,85,1.0
202,Emmet,,113,
203,Wyldstyle,,134,
204,Benny,,103,
205,Sweet Mayhem,,137,
206,Cherry Picker,,155,
207,Power Boat,,174,
208,Getaway Truck,,128,
209,Police Pursuit,,120,
210,Rescue Helicopter,,325,
211,Chevrolet Corvette ZR1,,579,
212,Tracked Loader,,827,
213,Remote-Controlled Stunt Racer,,324,
214,Porsche 911 RSR,,1580,
215,Compact Crawler Crane,,920,
216,Car Transporter,,2493,
217,4x4 X-Treme Off-Roader,,958,
218,Liebherr R 9800,,4108,
219,Land Rover Defender,,2573,
220,Elsa's Ice Palace,,701,7.0
221,City Shaper Challenge Kit,,2238,1.0
222,BOOMTOWN BUILD Inspire Set,,739,
223,BOOMTOWN BUILD Discovery Set,,78,4.0
224,Ski Resort,,806,11.0
225,Jet Patrol,,54,2
226,Sky Police Drone Chase,,192,3
227,Parachute Arrest,,218,4
228,Diamond Heist,,400,4
229,Air Base,,529,6
230,Barbecue Burn Out,,64,2
231,Dock Side Fire,,97,2
232,Burger Bar Fire Rescue,,327,3
233,Fire Station,,509,4
234,Downtown Fire Brigade,,943,7
235,Fire Plane,,363,3
236,Desert Rally Racer,,75,1
237,Construction Loader,,88,1
238,Garbage Truck,,90,2
239,Diving Yacht,,148,2
240,Snow Groomer,,197,2
241,Harvester Transport,,358,3
242,Satellite Service Mission,,84,1
243,Rover Testing Drive,,202,2
244,Mars Research Shuttle,,273,2
245,Lunar Space Station,,412,5
246,Deep Space Rocket and Launch Control,,837,7
247,Rocket Assembly & Transport,,1055,8
248,People Pack - Space Research and Development,,209,15
249,Fire Chief Response Truck,,201,2
